#Marche Dollase Result of Fitting
#Using advanced fitting mode: False
#-> row 0: x0: 285, y0:131, width:171, height:171, d_spacing:None, sigma:None, alpha:None, a1:None, a2:None
#
#image index, TOF(micros), Lambda(Angstroms), row 0
561, 6081.92, 0.038288079564930605, 0.22157739
562, 6092.16, 0.03831924094051913, 0.22160941
563, 6102.4, 0.038350402316107673, 0.21990341
564, 6112.64, 0.0383815636916962, 0.22054829
565, 6122.88, 0.038412725067284735, 0.2216804
566, 6133.12, 0.03844388644287328, 0.22047488
567, 6143.36, 0.038475047818461804, 0.22179212
568, 6153.6, 0.03850620919405034, 0.22063513
569, 6163.84, 0.03853737056963887, 0.22108617
570, 6174.08, 0.03856853194522741, 0.22117156
571, 6184.32, 0.03859969332081594, 0.22085175
572, 6194.56, 0.03863085469640448, 0.2199326
573, 6204.8, 0.03866201607199301, 0.22065313
574, 6215.04, 0.03869317744758154, 0.22018324
575, 6225.28, 0.038724338823170085, 0.22046179
576, 6235.52, 0.03875550019875861, 0.21908528
577, 6245.76, 0.038786661574347146, 0.2199699
578, 6256.0, 0.03881782294993568, 0.21987307
579, 6266.24, 0.03884898432552422, 0.21931718
580, 6276.480000000001, 0.03888014570111276, 0.21965411
581, 6286.72, 0.03891130707670128, 0.21939522
582, 6296.96, 0.03894246845228982, 0.22001532
583, 6307.2, 0.038973629827878366, 0.21853395
584, 6317.44, 0.039004791203466886, 0.21933962
585, 6327.6799999999985, 0.03903595257905542, 0.21916017
586, 6337.92, 0.03906711395464395, 0.21965678
587, 6348.16, 0.039098275330232496, 0.21953182
588, 6358.4000000000015, 0.039129436705821016, 0.21831585
589, 6368.64, 0.03916059808140957, 0.21818776
590, 6378.88, 0.039191759456998085, 0.21837977
591, 6389.12, 0.03922292083258663, 0.21742025
592, 6399.36, 0.03925408220817515, 0.21808189
593, 6409.5999999999985, 0.039285243583763695, 0.21784727
594, 6419.839999999998, 0.03931640495935222, 0.21770814
595, 6430.08, 0.03934756633494076, 0.21727987
596, 6440.3200000000015, 0.0393787277105293, 0.21709211
597, 6450.56, 0.03940988908611783, 0.21724889
598, 6460.8, 0.039441050461706366, 0.21731019
599, 6471.04, 0.0394722118372949, 0.21755898
600, 6481.28, 0.039503373212883434, 0.216648
601, 6491.52, 0.03953453458847197, 0.21752647
602, 6501.759999999998, 0.0395656959640605, 0.21678939999999997
603, 6512.0, 0.03959685733964903, 0.21642916
604, 6522.240000000002, 0.03962801871523758, 0.21643405
605, 6532.480000000001, 0.039659180090826106, 0.21687686
606, 6542.72, 0.03969034146641464, 0.21591544
607, 6552.96, 0.03972150284200317, 0.21631925
608, 6563.2, 0.039752664217591716, 0.21567176
609, 6573.44, 0.039783825593180236, 0.21581399999999998
610, 6583.6799999999985, 0.039814986968768784, 0.21572997
611, 6593.92, 0.03984614834435729, 0.21581575
612, 6604.160000000002, 0.03987730971994584, 0.21575756
613, 6614.4000000000015, 0.03990847109553438, 0.21531379
614, 6624.64, 0.039939632471122914, 0.21517517
615, 6634.88, 0.039970793846711435, 0.21426831
616, 6645.12, 0.04000195522229998, 0.21562704
617, 6655.36, 0.04003311659788851, 0.21463855
